Module,Algorithm,Function,Mean Error,Std Error,Best Error,Median Error,Worst Error,p-value vs Proposed,Outcome vs Proposed
component_ablation,wo-AS-SaS,F1,1.1228078036400764e-07,1.2222501786488015e-07,9.653940184656402e-10,1.1414085472725548e-07,2.986503913425701e-07,0.09523809523809523,≈
component_ablation,wo-SD,F1,1.9023886968420636e-30,3.80236714937639e-30,0.0,0.0,8.673168641712301e-30,0.011159425282914753,-
component_ablation,CCMTO-MTES-DAKG,F1,2.066102583379285e-08,4.322408230313116e-08,1.974457578818034e-24,3.5750253127588044e-11,9.78704404183597e-08,1.0,\
component_ablation,wo-DA,F2,1200.2831474537234,1784.8737708064482,294.08021580226426,428.912887942753,4388.3090665641985,0.15079365079365079,≈
component_ablation,wo-DT-DoS,F2,314.25373636835405,13.359224370292182,297.745062495041,315.45812702674596,333.0852394474663,0.6904761904761905,≈
component_ablation,wo-AS-SaS,F2,376.4649060643198,88.3991343883698,288.85109942356206,337.7930323502944,511.40845013429305,0.30952380952380953,≈
component_ablation,wo-SD,F2,291.7027966773559,15.564979257260273,272.9933613944454,294.84295769372045,310.050952278799,0.2222222222222222,≈
component_ablation,CCMTO-MTES-DAKG,F2,329.75434068540665,58.22534098944847,266.94170679692303,323.10049209522435,425.1618183097658,1.0,\
component_ablation,wo-DA,F4,29514309.011527658,36886462.770247795,9147366.014876923,12769205.727085067,95151169.99850027,0.007936507936507936,+
component_ablation,wo-DT-DoS,F4,1844269.3599621956,3847056.378688628,4079.3408432639276,102309.26347086352,8720264.819342745,0.6904761904761905,≈
component_ablation,wo-AS-SaS,F4,382873474.00655854,808372699.264079,30680.217490575393,2613862.1490228656,1827503532.6420622,0.2222222222222222,≈
component_ablation,wo-SD,F4,62783.97115480774,105313.87712555678,11207.17314988164,17206.366378297564,251116.900754159,0.30952380952380953,≈
component_ablation,CCMTO-MTES-DAKG,F4,1848599.321589321,3836245.1573221204,8333.68873342871,105644.78749467427,8705125.04897672,1.0,\
component_ablation,wo-DA,F5,2415092.7823188463,782752.8433768015,1089744.4044260434,2604055.1468567783,2989158.518570885,0.42063492063492064,≈
component_ablation,wo-DT-DoS,F5,2441896.282546455,322011.1653348419,2129865.9278255017,2370415.493450769,2859256.5722822947,1.0,≈
component_ablation,wo-AS-SaS,F5,2213080.1660388946,334008.49681819876,1634319.9340827544,2325534.5179900858,2489743.925558608,0.6904761904761905,≈
component_ablation,wo-SD,F5,2157618.7574760383,191522.71014165375,1837940.3804516497,2220566.555024246,2304522.4680085015,0.2222222222222222,≈
component_ablation,CCMTO-MTES-DAKG,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,\
